銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
2524,ＮＺＡＭ　上場投信　ＴＯＰＩＸ,3982.0,174,69.3,,"ex:2025-08-15|pay:2025-11:37.8, ex:2026-02-15|pay:2026-05:31.5"
2525,ＮＺＡＭ　上場投信　日経２２５,62190.0,105,653.0,,"ex:2025-08-15|pay:2025-11:324.0, ex:2026-02-15|pay:2026-05:329.0"
2526,ＮＺＡＭ　上場投信　ＪＰＸ日経４００,35730.0,175,625.0,,"ex:2025-08-15|pay:2025-11:313.0, ex:2026-02-15|pay:2026-05:312.0"
2527,ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数,1131.0,464,52.5,,"ex:2025-07-15|pay:2025-10:24.4, ex:2026-01-15|pay:2026-04:28.1"
2528,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数,1112.0,459,51.0,,"ex:2025-06-10|pay:2025-09:6.0, ex:2025-09-10|pay:2025-12:18.0, ex:2025-12-10|pay:2026-03:6.0, ex:2026-03-10|pay:2026-06:21.0"
2529,ＮＥＸＴ　ＦＵＮＤＳ　野村株主還元７０連動型上場投信,2192.0,246,54.0,,"ex:2025-07-07|pay:2025-10:5.0, ex:2025-10-07|pay:2026-01:20.0, ex:2026-01-07|pay:2026-04:5.0, ex:2026-04-07|pay:2026-07:24.0"
252A,ウェッジ,2566.0,49,12.57,情報技術,ex:2025-12-29|pay:2026-03:12.57
2530,ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信,17835.0,438,781.0,,"ex:2025-06-08|pay:2025-09:387.0, ex:2025-12-08|pay:2026-03:394.0"
2531,宝ホールディングス,1823.0,170,31.0,生活必需品,ex:2026-03-30|pay:2026-06:31.0
2533,オエノンホールディングス,490.0,245,12.0,生活必需品,ex:2025-12-29|pay:2026-03:11.0
253A,ＥＴＳグループ,1222.0,188,23.0,資本財,ex:2025-09-29|pay:2025-12:10.0
2540,養命酒製造,4030.0,112,45.0,生活必需品,
254A,ＡＩフュージョンキャピタルグループ,938.0,0,0.0,金融,
2552,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）,1973.0,532,105.0,,"ex:2025-06-08|pay:2025-09:11.0, ex:2025-08-07|pay:2025-11:15.0, ex:2025-08-08|pay:2025-11:15.0, ex:2025-10-08|pay:2026-01:18.0, ex:2025-12-08|pay:2026-03:10.0, ex:2026-02-08|pay:2026-05:19.0, ex:2026-04-08|pay:2026-07:17.0"
2553,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,2573.5,93,24.0,,ex:2025-07-08|pay:2025-10:24.0
2554,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信,761.7,393,29.9,,"ex:2025-06-07|pay:2025-09:7.2, ex:2025-09-07|pay:2025-12:7.6, ex:2025-12-07|pay:2026-03:7.7, ex:2026-03-07|pay:2026-06:7.4"
2555,東証ＲＥＩＴ　ＥＴＦ,1887.5,445,84.0,,"ex:2025-07-12|pay:2025-10:19.0, ex:2025-10-12|pay:2026-01:20.0, ex:2026-01-12|pay:2026-04:22.0, ex:2026-04-12|pay:2026-07:23.0"
2556,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数,1890.0,463,87.5,,"ex:2025-07-08|pay:2025-10:17.0, ex:2025-10-08|pay:2026-01:24.5, ex:2026-01-08|pay:2026-04:20.4, ex:2026-04-08|pay:2026-07:25.6"
2557,ＳＭＤＡＭ　トピックス上場投信,3909.0,183,71.5,,"ex:2025-10-08|pay:2026-01:32.8, ex:2026-04-08|pay:2026-07:38.7"
2558,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信,34050.0,80,271.0,,"ex:2025-06-08|pay:2025-09:130.0, ex:2025-12-08|pay:2026-03:141.0"
2559,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信,28920.0,112,324.0,,"ex:2025-06-08|pay:2025-09:177.0, ex:2025-12-08|pay:2026-03:147.0"
255A,ジーエルテクノホールディングス,5810.0,217,126.0,情報技術,ex:2026-03-30|pay:2026-06:111.0
2560,ＭＡＸＩＳカーボン・エフィシェント日本株上場投信,50860.0,181,923.0,,"ex:2025-11-10|pay:2026-02:420.0, ex:2026-05-10|pay:2026-08:503.0"
2561,ｉシェアーズ・コア　日本国債　ＥＴＦ,2003.0,125,25.0,,"ex:2025-07-11|pay:2025-10:6.0, ex:2025-10-11|pay:2026-01:7.0, ex:2026-01-11|pay:2026-04:6.0, ex:2026-04-11|pay:2026-07:6.0"
2562,上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり,3500.0,109,38.0,,"ex:2025-07-08|pay:2025-10:20.0, ex:2026-01-08|pay:2026-04:18.0"
2563,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）,397.2,93,3.7,,"ex:2025-08-09|pay:2025-11:1.8, ex:2026-02-09|pay:2026-05:1.9"
2564,グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ,3379.0,432,146.0,,"ex:2025-07-24|pay:2025-10:9.0, ex:2025-10-24|pay:2026-01:61.0, ex:2026-01-24|pay:2026-04:7.0, ex:2026-04-24|pay:2026-07:69.0"
2565,グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ,900.0,478,43.0,,"ex:2025-06-24|pay:2025-09:5.0, ex:2025-08-24|pay:2025-11:6.0, ex:2025-10-24|pay:2026-01:10.0, ex:2025-12-24|pay:2026-03:4.0, ex:2026-02-24|pay:2026-05:7.0, ex:2026-04-24|pay:2026-07:11.0"
2566,上場インデックスファンド日経ＥＳＧリート,1036.0,454,47.0,,"ex:2025-07-08|pay:2025-10:9.0, ex:2025-10-08|pay:2026-01:13.0, ex:2026-01-08|pay:2026-04:11.0, ex:2026-04-08|pay:2026-07:14.0"
2567,ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数,510.5,170,8.7,,"ex:2025-08-15|pay:2025-11:4.5, ex:2026-02-15|pay:2026-05:4.2"
2568,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジなし,7920.0,21,17.0,,"ex:2025-07-08|pay:2025-10:10.0, ex:2026-01-08|pay:2026-04:7.0"
2569,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジあり,4287.0,23,10.0,,"ex:2025-07-08|pay:2025-10:5.0, ex:2026-01-08|pay:2026-04:5.0"
256A,飛島ホールディングス,2015.0,546,110.0,資本財,ex:2026-03-30|pay:2026-06:100.0
2573,北海道コカ・コーラボトリング,4180.0,72,30.0,生活必需品,"ex:2025-06-27|pay:2025-09:15.0, ex:2025-12-29|pay:2026-03:15.0"
2579,コカ・コーラ　ボトラーズジャパンホールディングス,3404.0,212,72.0,生活必需品,"ex:2025-06-27|pay:2025-09:28.0, ex:2025-12-29|pay:2026-03:32.0"
257A,ＳＭＴ　ＥＴＦ日本株厳選投資アクティブ,3257.0,61,20.0,,"ex:2025-07-10|pay:2025-10:9.0, ex:2026-01-08|pay:2026-04:11.0"
2585,ライフドリンク　カンパニー,1253.0,239,30.0,生活必需品,ex:2026-03-30|pay:2026-06:14.0
2586,フルッタフルッタ,97.0,0,0.0,生活必需品,
2587,サントリー食品インターナショナル,4196.0,286,120.0,生活必需品,"ex:2025-06-27|pay:2025-09:60.0, ex:2025-12-29|pay:2026-03:60.0"
2588,プレミアムウォーターホールディングス,3645.0,329,120.0,公益事業,"ex:2025-09-29|pay:2025-12:55.0, ex:2026-03-30|pay:2026-06:60.0"
258A,ＳＭＴ　ＥＴＦ国内リート厳選投資アクティブ,2122.0,419,89.0,,"ex:2025-07-10|pay:2025-10:36.0, ex:2026-01-08|pay:2026-04:53.0"
2590,ダイドーグループホールディングス,2624.0,114,30.0,生活必需品,"ex:2025-07-17|pay:2025-10:15.0, ex:2026-01-19|pay:2026-04:15.0"
2593,伊藤園,2928.0,164,48.0,生活必需品,"ex:2025-10-30|pay:2026-01:24.0, ex:2026-04-28|pay:2026-07:24.0"
25935,ベルーナ,1795.0,334,60.0,生活必需品,"ex:2025-10-30|pay:2026-01:30.0, ex:2026-04-28|pay:2026-07:30.0"
2594,キーコーヒー,1929.0,62,12.0,生活必需品,"ex:2025-09-29|pay:2025-12:6.0, ex:2026-03-30|pay:2026-06:6.0"
2597,ユニカフェ,1065.0,94,10.0,生活必需品,ex:2025-12-29|pay:2026-03:10.0
2602,日清オイリオグループ,1805.0,332,60.0,生活必需品,"ex:2025-09-29|pay:2025-12:30.0, ex:2026-03-30|pay:2026-06:30.0"
2607,不二製油,3525.0,176,62.0,生活必需品,"ex:2025-09-29|pay:2025-12:26.0, ex:2026-03-30|pay:2026-06:26.0"
2612,かどや製油,1480.0,635,94.0,生活必需品,ex:2026-03-30|pay:2026-06:45.0
2613,Ｊ－オイルミルズ,1993.0,401,80.0,生活必需品,"ex:2025-09-29|pay:2025-12:35.0, ex:2026-03-30|pay:2026-06:35.0"
261A,日水コン,2107.0,351,74.0,資本財,"ex:2025-06-27|pay:2025-09:32.0, ex:2025-12-29|pay:2026-03:42.0"
2620,ｉシェアーズ　米国債１－３年　ＥＴＦ,367.7,261,9.6,,"ex:2025-07-11|pay:2025-10:2.1, ex:2025-10-11|pay:2026-01:2.6, ex:2026-01-11|pay:2026-04:2.5, ex:2026-04-11|pay:2026-07:2.4"
2621,ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）,1028.0,447,46.0,,"ex:2025-07-11|pay:2025-10:10.0, ex:2025-10-11|pay:2026-01:12.0, ex:2026-01-11|pay:2026-04:12.0, ex:2026-04-11|pay:2026-07:12.0"
2622,ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）,1720.0,453,78.0,,"ex:2025-07-11|pay:2025-10:20.0, ex:2025-10-11|pay:2026-01:20.0, ex:2026-01-11|pay:2026-04:19.0, ex:2026-04-11|pay:2026-07:19.0"
2623,ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1930.0,503,97.0,,"ex:2025-10-11|pay:2026-01:52.0, ex:2026-04-11|pay:2026-07:45.0"
2624,ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）,6180.0,125,77.0,,"ex:2025-07-10|pay:2025-10:5.0, ex:2025-10-10|pay:2026-01:31.0, ex:2026-01-10|pay:2026-04:4.0, ex:2026-04-10|pay:2026-07:37.0"
2625,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）,3880.0,188,73.0,,"ex:2025-07-10|pay:2025-10:5.0, ex:2025-10-10|pay:2026-01:29.0, ex:2026-01-10|pay:2026-04:4.0, ex:2026-04-10|pay:2026-07:35.0"
2626,グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ,2754.0,73,20.0,,"ex:2025-07-24|pay:2025-10:15.0, ex:2026-01-24|pay:2026-04:5.0"
2627,グローバルＸ　ｅコマース－日本株式　ＥＴＦ,1422.0,120,17.0,,"ex:2025-07-24|pay:2025-10:6.0, ex:2026-01-24|pay:2026-04:11.0"
2628,ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）,3790.0,0,0.0,,
2629,ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）,3689.0,0,0.0,,
